Prompts,Category
Paying for a quarter-sized pizza with a pizza-sized quarter.,Gary Marcus et al. 
An oil painting of a couple in formal evening wear going home get caught in a heavy downpour with no umbrellas.,Gary Marcus et al. 
"A grocery store refrigerator has pint cartons of milk on the top shelf, quart cartons on the middle shelf, and gallon plastic jugs on the bottom shelf.",Gary Marcus et al. 
"In late afternoon in January in New England, a man stands in the shadow of a maple tree.",Gary Marcus et al. 
An elephant is behind a tree. You can see the trunk on one side and the back legs on the other.,Gary Marcus et al. 
A tomato has been put on top of a pumpkin on a kitchen stool. There is a fork sticking into the pumpkin. The scene is viewed from above.,Gary Marcus et al. 
A pear cut into seven pieces arranged in a ring.,Gary Marcus et al. 
"A donkey and an octopus are playing a game. The donkey is holding a rope on one end, the octopus is holding onto the other. The donkey holds the rope in its mouth. A cat is jumping over the rope.",Gary Marcus et al. 
"Supreme Court Justices play a baseball game with the FBI. The FBI is at bat, the justices are on the field.",Gary Marcus et al. 
Abraham Lincoln touches his toes while George Washington does chin-ups. Lincoln is barefoot. Washington is wearing boots.,Gary Marcus et al. 
