Prompts,Category
A storefront with 'Hello World' written on it.,Text
A storefront with 'Diffusion' written on it.,Text
A storefront with 'Text to Image' written on it.,Text
A storefront with 'NeurIPS' written on it.,Text
A storefront with 'Deep Learning' written on it.,Text
A storefront with 'Google Brain Toronto' written on it.,Text
A storefront with 'Google Research Pizza Cafe' written on it.,Text
A sign that says 'Hello World'.,Text
A sign that says 'Diffusion'.,Text
A sign that says 'Text to Image'.,Text
A sign that says 'NeurIPS'.,Text
A sign that says 'Deep Learning'.,Text
A sign that says 'Google Brain Toronto'.,Text
A sign that says 'Google Research Pizza Cafe'.,Text
New York Skyline with 'Hello World' written with fireworks on the sky.,Text
New York Skyline with 'Diffusion' written with fireworks on the sky.,Text
New York Skyline with 'Text to Image' written with fireworks on the sky.,Text
New York Skyline with 'NeurIPS' written with fireworks on the sky.,Text
New York Skyline with 'Deep Learning' written with fireworks on the sky.,Text
New York Skyline with 'Google Brain Toronto' written with fireworks on the sky.,Text
New York Skyline with 'Google Research Pizza Cafe' written with fireworks on the sky.,Text
