Prompts,Category
A triangular purple flower pot. A purple flower pot in the shape of a triangle.,DALL-E
A triangular orange picture frame. An orange picture frame in the shape of a triangle.,DALL-E
A triangular pink stop sign. A pink stop sign in the shape of a triangle.,DALL-E
A cube made of denim. A cube with the texture of denim.,DALL-E
A sphere made of kitchen tile. A sphere with the texture of kitchen tile.,DALL-E
A cube made of brick. A cube with the texture of brick.,DALL-E
A collection of nail is sitting on a table.,DALL-E
A single clock is sitting on a table.,DALL-E
A couple of glasses are sitting on a table.,DALL-E
An illustration of a large red elephant sitting on a small blue mouse.,DALL-E
An illustration of a small green elephant standing behind a large red mouse.,DALL-E
A small blue book sitting on a large red book.,DALL-E
"A stack of 3 plates. A blue plate is on the top, sitting on a blue plate. The blue plate is in the middle, sitting on a green plate. The green plate is on the bottom.",DALL-E
"A stack of 3 cubes. A red cube is on the top, sitting on a red cube. The red cube is in the middle, sitting on a green cube. The green cube is on the bottom.",DALL-E
"A stack of 3 books. A green book is on the top, sitting on a red book. The red book is in the middle, sitting on a blue book. The blue book is on the bottom.",DALL-E
"An emoji of a baby panda wearing a red hat, green gloves, red shirt, and green pants.",DALL-E
"An emoji of a baby panda wearing a red hat, blue gloves, green shirt, and blue pants.",DALL-E
A fisheye lens view of a turtle sitting in a forest.,DALL-E
A side view of an owl sitting in a field.,DALL-E
A cross-section view of a brain.,DALL-E
