Prompts,Category
A train on top of a surfboard.,Positional
A wine glass on top of a dog.,Positional
A bicycle on top of a boat.,Positional
An umbrella on top of a spoon.,Positional
A laptop on top of a teddy bear.,Positional
A giraffe underneath a microwave.,Positional
A donut underneath a toilet.,Positional
A hair drier underneath a sheep.,Positional
A tennis racket underneath a traffic light.,Positional
A zebra underneath a broccoli.,Positional
A banana on the left of an apple.,Positional
A couch on the left of a chair.,Positional
A car on the left of a bus.,Positional
A cat on the left of a dog.,Positional
A carrot on the left of a broccoli.,Positional
A pizza on the right of a suitcase.,Positional
A cat on the right of a tennis racket.,Positional
A stop sign on the right of a refrigerator.,Positional
A sheep to the right of a wine glass.,Positional
A zebra to the right of a fire hydrant.,Positional
