Prompts,Category
One car on the street.,Counting
Two cars on the street.,Counting
Three cars on the street.,Counting
Four cars on the street.,Counting
Five cars on the street.,Counting
One dog on the street.,Counting
Two dogs on the street.,Counting
Three dogs on the street.,Counting
Four dogs on the street.,Counting
Five dogs on the street.,Counting
One cat and one dog sitting on the grass.,Counting
One cat and two dogs sitting on the grass.,Counting
One cat and three dogs sitting on the grass.,Counting
Two cats and one dog sitting on the grass.,Counting
Two cats and two dogs sitting on the grass.,Counting
Two cats and three dogs sitting on the grass.,Counting
Three cats and one dog sitting on the grass.,Counting
Three cats and two dogs sitting on the grass.,Counting
Three cats and three dogs sitting on the grass.,Counting
